Bilhetes,Status_Geral,Área Resp. Operação,Obs. Operação,Setor,Ponto de venda,Código Iata
VNBIHG,Pendente de Lançamento (Não Consta),Ivanete Bertasol,Sem tratativa na operação,Operação,Matriz (Barueri),14-00042-0
MH8NQI,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-00054-3
MGPCMY,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-00054-3
HN36VT,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-00054-3
ZESYXE,Pendente de Lançamento (Não Consta),Central de Eventos,Sem tratativa na operação,Central de Eventos,Matriz (Barueri),57-02108-6
RRZ1SK,Pendente de Lançamento (Não Consta),Central de Eventos,Sem tratativa na operação,Central de Eventos,Matriz (Barueri),57-02108-6
YQ5GTA,Pendente de Lançamento (Não Consta),Central de Eventos,Sem tratativa na operação,Central de Eventos,Matriz (Barueri),57-02108-6
IQJNTK,Pendente de Lançamento (Não Consta),Central de Eventos,Sem tratativa na operação,Central de Eventos,Matriz (Barueri),57-02108-6
JSDSRE,Pendente de Lançamento (Não Consta),Central de Eventos,Sem tratativa na operação,Central de Eventos,Matriz (Barueri),57-02108-6
XPCJPQ,Pendente de Lançamento (Não Consta),Central de Eventos,Sem tratativa na operação,Central de Eventos,Matriz (Barueri),57-02108-6
YSRJ9E,Pendente de Lançamento (Não Consta),Central de Eventos,Sem tratativa na operação,Central de Eventos,Matriz (Barueri),57-02108-6
OR7GWK,Pendente de Lançamento (Não Consta),Central de Eventos,Sem tratativa na operação,Central de Eventos,Matriz (Barueri),57-02108-6
JI6YJF,Pendente de Lançamento (Não Consta),Central de Eventos,Sem tratativa na operação,Central de Eventos,Matriz (Barueri),57-02108-6
WT3Q4R,Pendente de Lançamento (Não Consta),João Paulo Sousa,Sem tratativa na operação,Operação,Matriz (Barueri),57-02500-6
OLG47J,Pendente de Lançamento (Não Consta),Central de Eventos,Sem tratativa na operação,Central de Eventos,Matriz (Barueri),57-03251-1
BRWD6R,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
CR777E,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
OJ8B2P,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
UR98XK,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
YG982L,Pendente de Lançamento (Não Consta),Keli Santi,GDS MQIEIM  Concur ag gestão Randon,Operação,Matriz (Barueri),57-05782-5
WMESFJ,Pendente de Lançamento (Não Consta),Keli Santi,GDS ALRIKK CONCUR ag gestão Randon,Operação,Matriz (Barueri),57-05782-5
RWZC5Q,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
JHWCHV,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
EW24SQ,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
IP74QN,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
FHLLTV,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
KQ124X,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
ZFJVYR,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
YM6S2J,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
GL7MFJ,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
TPR4YA,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
CW14GA,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
OSFC2R,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
OHCJ9V,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
JWFVWQ,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
LW6P8A,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
HR2T2U,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
KPGM4K,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
QNQSKT,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
JJE4RC,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
EKWRHZ,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
AF1T5L,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
ONWC5Q,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
ZNVGWG,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
ZL19RP,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
GFQPFL,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
EJ5HSC,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
BSJQKB,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
RIEP3S,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
HT9FKB,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
YPB6HQ,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
HQ222X,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
DK78HM,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
BKYGPM,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
CHELFF,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
LM935G,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
PIHIWV,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
DRM82R,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
VSB4QH,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
ZL138M,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
ZKREGP,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
ZP51JQ,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
XL5J4M,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
MHQS7F,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
VHF9YL,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
AHZHHV,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
EG35RL,Pendente de Lançamento (Não Consta),Suporte Backoffice,ticket 375383 - erro de integração / integrou sem RLOC dia e sem valor,Operação,Matriz (Barueri),57-05782-5
